Rubber_content,Aggregate_size,Water_cement_ratio,Compressive_strength,Flexural_strength,Damping_ratio,Cement_content,Fine_aggregate_content,Coarse_aggregate_content,Crumb_rubber_kg_m3,Water_kg,Water_percent
11.24,12.87,0.45,45.39,6.57,0.0647,450.2703307,665.4447554,1144.145677,11.24,202.6216488,8.190961436
28.52,14.47,0.43,21.77,2.73,0.1764,376.5532567,798.8783102,1142.247552,28.52,161.9179004,6.455755419
21.96,22.09,0.37,29.9,5.88,0.1333,468.8915424,830.0584561,1040.539006,21.96,173.4898707,6.843946904
17.96,11.8,0.54,31.41,4.63,0.1147,433.4209664,649.9908429,1007.331079,17.96,234.0473219,9.99028069
4.68,22.39,0.49,47.56,10,0.0388,300.7190165,613.157485,1060.759904,4.68,147.3523181,6.928785684
4.68,6.76,0.65,42.76,7.95,0.0318,494.6369174,731.8762126,1031.427261,4.68,321.5139963,12.44184505
1.74,20.54,0.31,58.39,10,0.02,447.4507344,832.2072258,1079.157696,1.74,138.7097277,5.550019961
25.99,21.95,0.56,17.88,2.71,0.1642,452.9341472,795.2339507,1195.869224,25.99,253.6431224,9.312548182
18.03,8.64,0.61,26.32,4.24,0.1132,308.1849992,810.5645161,1036.214274,18.03,187.9928495,7.962469859
21.24,13.61,0.6,25.43,3.58,0.1317,379.0849063,720.851802,1063.774789,21.24,227.4509438,9.428399671
0.62,8.31,0.65,48.58,9.13,0.02,361.5755653,670.4836636,1145.022863,0.62,235.0241175,9.741018957
29.1,19.13,0.59,17.02,2,0.1885,483.8882975,759.533653,1101.836557,29.1,285.4940956,10.7334555
24.97,15.71,0.67,22.65,2.29,0.1626,421.6503264,661.3097081,1008.785629,24.97,282.5057187,11.77489167
6.37,17.71,0.43,48.57,8.79,0.042,461.0075549,817.8686091,1032.338004,6.37,198.2332486,7.879476759
5.45,8.93,0.5,48.61,7.18,0.0332,377.5511237,659.0899368,1187.049911,5.45,188.7755619,7.807364699
5.5,9.23,0.31,51.28,9.74,0.0205,329.9925188,687.37898,1020.632999,5.5,102.2976808,4.767339779
9.13,5.83,0.3,50.5,7.08,0.0464,402.0086531,751.9634335,1127.018557,9.13,120.6025959,5.002755768
15.74,11.44,0.4,37.17,5.99,0.0969,294.0397963,746.0129802,1158.46513,15.74,117.6159185,5.043837161
12.96,16.19,0.34,43.38,7.7,0.0791,462.0788578,780.2548129,1053.087813,12.96,157.1068117,6.372239202
8.74,22.16,0.4,46.18,9.24,0.0564,418.9661678,731.2333801,1145.015601,8.74,167.5864671,6.780645167
18.36,18.34,0.37,37.91,5.83,0.1131,446.7793028,875.8419926,1033.979036,18.36,165.308342,6.507514098
4.18,13.71,0.31,52.02,10,0.0224,357.995713,851.9802283,1056.950055,4.18,110.978671,4.658888601
8.76,24.06,0.66,34,8.19,0.0592,493.5535654,863.7340354,1062.364406,8.76,325.7453531,11.82740528
10.99,19.38,0.3,46.29,8.99,0.0642,476.4866467,788.8549714,1199.286998,10.99,142.945994,5.4589447
13.68,23.6,0.59,35.69,7.65,0.087,451.2443694,790.5023748,1042.914459,13.68,266.2341779,10.38121866
23.56,15.55,0.36,30.21,4.3,0.1531,322.8205157,782.7596051,1025.841493,23.56,116.2153857,5.116922297
5.99,10.18,0.66,44.33,7.43,0.0356,382.6786208,730.4652463,1185.138287,5.99,252.5678897,9.878126334
15.43,6.06,0.66,31.65,3.74,0.0977,289.6368285,696.6318003,1032.386139,15.43,191.1603068,8.590528252
17.77,19.52,0.56,29.7,5.53,0.1133,313.9436883,777.6008662,1175.855984,17.77,175.8084654,7.143842558
1.39,7.43,0.57,45.61,9.31,0.02,430.2707697,607.6595511,1130.091326,1.39,245.2543387,10.15686394
18.23,11.06,0.3,37.59,5.53,0.1067,443.8476743,602.2369294,1115.3723,18.23,133.1543023,5.757174421
5.12,15.65,0.69,44.1,8.33,0.04,492.8521411,855.4925479,1150.267742,5.12,340.0679774,11.9582224
1.95,16.29,0.65,46.34,9.14,0.02,351.6815788,613.9272134,1145.199791,1.95,228.5930262,9.763293358
28.47,17.01,0.66,15.16,2,0.1806,361.5011353,757.4385451,1022.105238,28.47,238.5907493,9.907818935
28.97,8.33,0.56,18.17,2,0.1891,383.3022785,784.4963289,1199.893222,28.97,214.6492759,8.219980971
24.25,12.59,0.44,24.73,3.74,0.1594,321.683699,659.4513689,1188.377945,24.25,141.5408276,6.060917003
9.14,17.34,0.66,39.56,7.26,0.0502,308.5827312,868.7192515,1179.318393,9.14,203.6646026,7.926466207
2.93,24.4,0.42,56.26,10,0.02,384.6550838,657.0287315,1124.457827,2.93,161.5551352,6.931832105
20.53,19.55,0.53,28.27,4.37,0.1317,329.9200568,865.3544962,1104.558266,20.53,174.8576301,7.007702672
13.2,23.45,0.34,40.7,8.48,0.0931,427.3590788,828.8970808,1107.255717,13.2,145.3020868,5.761351401
3.66,20.24,0.67,44.41,10,0.029,376.1734222,672.2228861,1002.987389,3.66,252.0361928,10.9244675
14.86,16.83,0.36,36.04,6.77,0.0919,463.1892031,645.2232499,1099.8939,14.86,166.7481131,6.977158198
1.03,8.84,0.39,56.74,10,0.02,434.0583224,694.8698131,1124.753914,1.03,169.2827458,6.98362662
27.28,18.33,0.52,21.47,2.26,0.174,348.7206611,719.3851699,1131.741242,27.28,181.3347438,7.529068658
7.76,17.47,0.61,44.87,7.4,0.0482,463.0971563,673.7354029,1066.427893,7.76,282.4892653,11.32898193
19.88,17.05,0.55,28.33,4.17,0.1244,457.0481586,899.6674646,1094.25647,19.88,251.3764873,9.234216739
9.35,14.8,0.39,46.81,7.17,0.0506,365.2452434,668.8957009,1127.262121,9.35,142.4456449,6.157951078
15.6,15.57,0.3,39.54,7.55,0.0969,343.4321829,849.1904481,1085.661102,15.6,103.0296549,4.298430447
16.4,11.69,0.6,30.52,3.62,0.0995,430.1490109,647.7353241,1192.42704,16.4,258.0894065,10.14183147
5.55,15.39,0.69,38.47,7.77,0.0457,310.7455464,894.0733876,1141.088422,5.55,214.414427,8.356396779
29.09,8.95,0.62,14.99,2,0.1952,323.9798045,667.6570375,1000.254749,29.09,200.8674788,9.040554623
23.25,21.1,0.48,25.96,3.77,0.151,281.6196993,726.5065664,1004.655896,23.25,135.1774557,6.225905347
28.18,8.72,0.66,15.93,2,0.1822,453.1233631,767.56922,1138.060041,28.18,299.0614196,11.13410584
26.84,6.7,0.46,21.62,2,0.1676,426.2671885,636.0857145,1082.52902,26.84,196.0829067,8.281210692
17.94,13.72,0.51,32.34,4.46,0.1127,435.1363833,845.0460202,1167.89419,17.94,221.9195555,8.256131961
27.66,18.17,0.49,20.42,2.27,0.1846,451.7603868,682.4056598,1034.603082,27.66,221.3625895,9.155569022
2.65,13.75,0.48,50.78,9.3,0.02,380.9614706,764.7809705,1002.765383,2.65,182.8615059,7.834618315
5.88,10.54,0.61,43.8,7.72,0.0367,405.1230631,764.8901432,1077.61647,5.88,247.1250685,9.882493595
1.36,16.16,0.51,52.13,10,0.02,310.7553396,780.7921957,1147.212821,1.36,158.4852232,6.607389917
9.76,11.94,0.43,46.01,8.58,0.0609,305.1966162,616.645796,1194.345547,9.76,131.234545,5.814086576
